hour,buy,cart,fav,pv
0,3307,9883,5412,154630
1,4740,11578,6221,186978
2,6507,13707,7472,218043
3,6140,12969,7520,214293
4,6090,12849,7147,214981
5,6518,14329,7500,238108
6,6149,13982,7219,234214
7,6179,14390,7388,242836
8,5761,13802,7558,231800
9,5206,12998,6982,213746
10,4841,12805,6683,220609
11,5877,15809,7979,275881
12,6906,19954,9635,333243
13,7276,23612,11201,384924
14,7106,24952,11836,383804
15,5081,20130,9640,285570
16,2535,8445,4718,137392
17,1033,4111,2469,66556
18,563,2208,1282,36938
19,375,1408,852,24044
20,262,1187,637,19584
21,359,1552,936,26168
22,816,3621,1889,54599
23,1741,6647,3368,100723
