user_id,last_buy_date,F,R,R_Score,F_Score,用户标签
1000019,2017-12-03,3,0,5,3,价值用户
1000024,2017-12-01,1,2,3,1,发展用户
1000075,2017-12-02,1,1,4,1,发展用户
1000098,2017-12-02,1,1,4,1,发展用户
1000115,2017-12-03,7,0,5,4,价值用户
10002,2017-12-02,8,1,4,4,价值用户
1000222,2017-11-29,6,4,2,4,保持用户
1000244,2017-12-01,7,2,3,4,价值用户
1000296,2017-12-01,1,2,3,1,发展用户
1000301,2017-11-30,1,3,3,1,发展用户
1000357,2017-12-02,1,1,4,1,发展用户
1000364,2017-11-28,1,5,2,1,挽留用户
1000366,2017-12-02,3,1,4,3,价值用户
1000379,2017-11-26,1,7,1,1,挽留用户
1000402,2017-11-28,12,5,2,5,保持用户
1000428,2017-12-03,16,0,5,5,价值用户
1000463,2017-11-30,3,3,3,3,价值用户
1000467,2017-12-03,2,0,5,2,发展用户
1000489,2017-11-29,1,4,2,1,挽留用户
1000518,2017-11-30,1,3,3,1,发展用户
1000542,2017-12-03,3,0,5,3,价值用户
1000562,2017-12-01,1,2,3,1,发展用户
100057,2017-12-02,1,1,4,1,发展用户
1000573,2017-11-29,2,4,2,2,挽留用户
1000609,2017-11-30,1,3,3,1,发展用户
1000611,2017-12-02,2,1,4,2,发展用户
1000692,2017-11-30,1,3,3,1,发展用户
1000697,2017-11-26,1,7,1,1,挽留用户
100071,2017-11-27,1,6,1,1,挽留用户
1000711,2017-11-28,2,5,2,2,挽留用户
1000718,2017-11-30,4,3,3,3,价值用户
1000778,2017-11-30,2,3,3,2,发展用户
1000797,2017-12-03,9,0,5,4,价值用户
1000814,2017-12-02,10,1,4,4,价值用户
1000820,2017-11-30,1,3,3,1,发展用户
1000841,2017-11-27,1,6,1,1,挽留用户
1000940,2017-12-02,6,1,4,4,价值用户
1000974,2017-12-03,6,0,5,4,价值用户
1001006,2017-12-02,2,1,4,2,发展用户
1001060,2017-12-01,1,2,3,1,发展用户
100109,2017-11-29,1,4,2,1,挽留用户
1001102,2017-12-02,4,1,4,3,价值用户
1001114,2017-12-03,4,0,5,3,价值用户
1001134,2017-12-03,2,0,5,2,发展用户
1001238,2017-11-25,2,8,1,2,挽留用户
100128,2017-12-02,2,1,4,2,发展用户
1001287,2017-12-02,7,1,4,4,价值用户
100129,2017-12-01,3,2,3,3,价值用户
1001313,2017-12-02,1,1,4,1,发展用户
1001363,2017-12-03,1,0,5,1,发展用户
1001376,2017-11-29,2,4,2,2,挽留用户
1001408,2017-12-02,9,1,4,4,价值用户
1001419,2017-12-01,7,2,3,4,价值用户
1001463,2017-12-01,5,2,3,3,价值用户
100154,2017-11-27,1,6,1,1,挽留用户
1001551,2017-12-03,1,0,5,1,发展用户
1001554,2017-11-30,4,3,3,3,价值用户
1001560,2017-11-27,2,6,1,2,挽留用户
1001562,2017-11-30,2,3,3,2,发展用户
1001569,2017-11-28,2,5,2,2,挽留用户
1001575,2017-11-30,1,3,3,1,发展用户
1001582,2017-12-03,2,0,5,2,发展用户
1001639,2017-12-03,3,0,5,3,价值用户
1001656,2017-12-02,1,1,4,1,发展用户
1001683,2017-12-01,1,2,3,1,发展用户
1001687,2017-11-26,1,7,1,1,挽留用户
1001713,2017-11-30,1,3,3,1,发展用户
1001716,2017-11-29,1,4,2,1,挽留用户
1001733,2017-12-02,1,1,4,1,发展用户
1001788,2017-11-28,3,5,2,3,保持用户
1001790,2017-11-27,1,6,1,1,挽留用户
10018,2017-12-03,1,0,5,1,发展用户
1001819,2017-12-03,6,0,5,4,价值用户
1001823,2017-11-30,1,3,3,1,发展用户
1001866,2017-11-30,15,3,3,5,价值用户
1001878,2017-12-03,2,0,5,2,发展用户
1001897,2017-12-01,5,2,3,3,价值用户
1001925,2017-11-28,2,5,2,2,挽留用户
1001949,2017-12-02,1,1,4,1,发展用户
1001950,2017-12-03,10,0,5,4,价值用户
1001965,2017-11-30,2,3,3,2,发展用户
1002015,2017-12-03,1,0,5,1,发展用户
1002016,2017-12-02,3,1,4,3,价值用户
1002020,2017-12-03,4,0,5,3,价值用户
1002058,2017-11-28,1,5,2,1,挽留用户
1002066,2017-12-01,5,2,3,3,价值用户
1002085,2017-11-30,2,3,3,2,发展用户
1002118,2017-12-01,3,2,3,3,价值用户
1002119,2017-11-27,4,6,1,3,保持用户
1002152,2017-11-28,4,5,2,3,保持用户
1002171,2017-12-02,7,1,4,4,价值用户
10022,2017-12-03,8,0,5,4,价值用户
1002241,2017-11-26,2,7,1,2,挽留用户
1002243,2017-11-30,4,3,3,3,价值用户
1002247,2017-11-29,3,4,2,3,保持用户
1002266,2017-11-30,6,3,3,4,价值用户
1002300,2017-12-01,1,2,3,1,发展用户
1002445,2017-12-03,3,0,5,3,价值用户
1002479,2017-11-30,1,3,3,1,发展用户
100248,2017-11-30,4,3,3,3,价值用户
1002513,2017-11-30,1,3,3,1,发展用户
1002534,2017-11-28,4,5,2,3,保持用户
1002558,2017-11-27,4,6,1,3,保持用户
1002592,2017-12-02,6,1,4,4,价值用户
1002595,2017-12-03,1,0,5,1,发展用户
1002596,2017-11-25,1,8,1,1,挽留用户
100261,2017-12-03,2,0,5,2,发展用户
1002684,2017-12-03,2,0,5,2,发展用户
1002699,2017-12-01,2,2,3,2,发展用户
1002701,2017-12-03,4,0,5,3,价值用户
1002764,2017-11-27,2,6,1,2,挽留用户
1002772,2017-12-02,4,1,4,3,价值用户
1002775,2017-12-03,6,0,5,4,价值用户
1002872,2017-12-03,1,0,5,1,发展用户
1002943,2017-12-02,2,1,4,2,发展用户
1002985,2017-12-02,4,1,4,3,价值用户
1003025,2017-12-01,2,2,3,2,发展用户
1003056,2017-12-02,7,1,4,4,价值用户
1003076,2017-12-01,3,2,3,3,价值用户
1003078,2017-12-02,2,1,4,2,发展用户
1003089,2017-12-02,2,1,4,2,发展用户
1003093,2017-11-30,1,3,3,1,发展用户
100310,2017-12-03,5,0,5,3,价值用户
1003175,2017-11-30,1,3,3,1,发展用户
1003203,2017-12-03,1,0,5,1,发展用户
1003204,2017-11-25,2,8,1,2,挽留用户
100323,2017-11-28,7,5,2,4,保持用户
1003236,2017-12-01,20,2,3,5,价值用户
1003247,2017-11-29,2,4,2,2,挽留用户
1003272,2017-11-27,2,6,1,2,挽留用户
1003333,2017-11-29,2,4,2,2,挽留用户
1003369,2017-11-30,38,3,3,5,价值用户
1003412,2017-12-03,100,0,5,5,价值用户
1003431,2017-11-30,9,3,3,4,价值用户
1003449,2017-12-03,3,0,5,3,价值用户
